"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify GET /albums returns all 100 albums","67","testGetAllAlbums","REST Assured API Test Suite","2026-07-31","passed","2026-07-31","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAllAlbums"
"Verify POST /albums creates a new album and returns 201","174","testCreateAlbum","REST Assured API Test Suite","2026-07-31","passed","2026-07-31","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testCreateAlbum"
"Verify GET /comments/{id} returns 404 for invalid IDs","159","testGetCommentNotFound","REST Assured API Test Suite","2026-07-31","passed","2026-07-31","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentNotFound"
"Verify Content-Type header and response time for users","47","testUserHeaders","REST Assured API Test Suite","2026-07-31","passed","2026-07-31","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testUserHeaders"
"Verify GET /comments returns all 500 comments","201","testGetAllComments","REST Assured API Test Suite","2026-07-31","passed","2026-07-31","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetAllComments"
"Verify GET /comments?postId=1 filters comments by post","88","testFilterCommentsByPostId","REST Assured API Test Suite","2026-07-31","passed","2026-07-31","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testFilterCommentsByPostId"
"Verify GET /todos/{id} returns 404 for invalid IDs","177","testGetTodoNotFound","REST Assured API Test Suite","2026-07-31","passed","2026-07-31","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoNotFound"
"Verify DELETE /albums/1 returns 200","94","testDeleteAlbum","REST Assured API Test Suite","2026-07-31","passed","2026-07-31","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testDeleteAlbum"
"Verify GET /photos/{id} returns 404 for invalid IDs","146","testGetPhotoNotFound","REST Assured API Test Suite","2026-07-31","passed","2026-07-31","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoNotFound"
"Verify GET /todos?completed=false returns only incomplete todos","60","testFilterIncompleteTodos","REST Assured API Test Suite","2026-07-31","passed","2026-07-31","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testFilterIncompleteTodos"
"Verify GET /posts/{id} returns correct post data","104","testGetPostById","REST Assured API Test Suite","2026-07-31","failed","2026-07-31","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostById"
"Verify GET /albums/{id} returns correct album data","191","testGetAlbumById","REST Assured API Test Suite","2026-07-31","passed","2026-07-31","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumById"
"Verify GET /photos returns all 5000 photos","426","testGetAllPhotos","REST Assured API Test Suite","2026-07-31","passed","2026-07-31","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetAllPhotos"
"Verify GET /albums/{id} returns 404 for non-existent IDs","146","testGetAlbumNotFound","REST Assured API Test Suite","2026-07-31","passed","2026-07-31","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumNotFound"
