"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify relationship: user has many albums","268","testGetUserAlbums","REST Assured API Test Suite","2026-06-08","passed","2026-06-08","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserAlbums"
"Verify GET /comments returns all 500 comments","207","testGetAllComments","REST Assured API Test Suite","2026-06-08","passed","2026-06-08","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetAllComments"
"Verify Content-Type header and response time","45","testAlbumHeaders","REST Assured API Test Suite","2026-06-08","passed","2026-06-08","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testAlbumHeaders"
"Verify GET /todos/{id} returns correct todo data","90","testGetTodoById","REST Assured API Test Suite","2026-06-08","passed","2026-06-08","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoById"
"Verify GET /comments/{id} returns 404 for invalid IDs","261","testGetCommentNotFound","REST Assured API Test Suite","2026-06-08","passed","2026-06-08","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentNotFound"
"Verify PUT /todos/1 fully updates the todo","258","testUpdateTodo","REST Assured API Test Suite","2026-06-08","failed","2026-06-08","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testUpdateTodo"
"Verify response structure matches post JSON schema","685","testPostSchemaValidation","REST Assured API Test Suite","2026-06-08","passed","2026-06-08","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testPostSchemaValidation"
"Verify GET /comments/{id} returns 404 for invalid IDs","53","testGetCommentNotFound","REST Assured API Test Suite","2026-06-08","passed","2026-06-08","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentNotFound"
"Verify GET /comments?postId=1 filters comments by post","88","testFilterCommentsByPostId","REST Assured API Test Suite","2026-06-08","passed","2026-06-08","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testFilterCommentsByPostId"
"Verify GET /comments/{id} returns correct comment data","290","testGetCommentById","REST Assured API Test Suite","2026-06-08","failed","2026-06-08","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentById"
"Verify Content-Type header and response time for comments","64","testCommentHeaders","REST Assured API Test Suite","2026-06-08","passed","2026-06-08","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testCommentHeaders"
"Verify GET /photos/{id} returns correct photo data","78","testGetPhotoById","REST Assured API Test Suite","2026-06-08","passed","2026-06-08","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoById"
"Verify GET /users returns all 10 users","56","testGetAllUsers","REST Assured API Test Suite","2026-06-08","passed","2026-06-08","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetAllUsers"
"Verify GET /comments/{id} returns correct comment data","85","testGetCommentById","REST Assured API Test Suite","2026-06-08","failed","2026-06-08","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentById"
"Verify GET /photos/{id} returns 404 for invalid IDs","266","testGetPhotoNotFound","REST Assured API Test Suite","2026-06-08","passed","2026-06-08","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoNotFound"
"Verify GET /albums/{id} returns correct album data","287","testGetAlbumById","REST Assured API Test Suite","2026-06-08","passed","2026-06-08","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumById"
"Verify Content-Type header and response time","79","testPostHeaders","REST Assured API Test Suite","2026-06-08","passed","2026-06-08","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testPostHeaders"
"Verify GET /users/{id} returns correct user data","80","testGetUserById","REST Assured API Test Suite","2026-06-08","failed","2026-06-08","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserById"
"Verify POST /albums creates a new album and returns 201","139","testCreateAlbum","REST Assured API Test Suite","2026-06-08","passed","2026-06-08","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testCreateAlbum"
"Verify GET /users/{id} returns 404 for invalid IDs","57","testGetUserNotFound","REST Assured API Test Suite","2026-06-08","passed","2026-06-08","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserNotFound"
"Verify GET /todos/{id} returns 404 for invalid IDs","47","testGetTodoNotFound","REST Assured API Test Suite","2026-06-08","passed","2026-06-08","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoNotFound"
"Verify photo URLs are non-null and non-empty","61","testPhotoUrlFormat","REST Assured API Test Suite","2026-06-08","passed","2026-06-08","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testPhotoUrlFormat"
"Verify GET /albums/{id} returns 404 for non-existent IDs","262","testGetAlbumNotFound","REST Assured API Test Suite","2026-06-08","passed","2026-06-08","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumNotFound"
"Verify GET /albums/{id} returns 404 for non-existent IDs","51","testGetAlbumNotFound","REST Assured API Test Suite","2026-06-08","passed","2026-06-08","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumNotFound"
"Verify relationship: user has many todos","67","testGetUserTodos","REST Assured API Test Suite","2026-06-08","passed","2026-06-08","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserTodos"
"Verify POST /todos creates a todo and returns 201","119","testCreateTodo","REST Assured API Test Suite","2026-06-08","failed","2026-06-08","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testCreateTodo"
"Verify GET /users/{id} returns correct user data","279","testGetUserById","REST Assured API Test Suite","2026-06-08","failed","2026-06-08","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserById"
"Verify GET /photos?albumId=1 filters photos by album","69","testFilterPhotosByAlbumId","REST Assured API Test Suite","2026-06-08","passed","2026-06-08","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testFilterPhotosByAlbumId"
"Verify GET /users/{id} returns correct user data","64","testGetUserById","REST Assured API Test Suite","2026-06-08","failed","2026-06-08","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserById"
"Verify Content-Type header and response time for todos","46","testTodoHeaders","REST Assured API Test Suite","2026-06-08","passed","2026-06-08","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testTodoHeaders"
"Verify GET /posts/{id} returns 404 for non-existent IDs","69","testGetPostNotFound","REST Assured API Test Suite","2026-06-08","passed","2026-06-08","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostNotFound"
"Verify Content-Type header and response time for users","47","testUserHeaders","REST Assured API Test Suite","2026-06-08","passed","2026-06-08","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testUserHeaders"
"Verify GET /todos/{id} returns correct todo data","63","testGetTodoById","REST Assured API Test Suite","2026-06-08","passed","2026-06-08","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoById"
"Verify GET /todos returns all 200 todos","66","testGetAllTodos","REST Assured API Test Suite","2026-06-08","passed","2026-06-08","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetAllTodos"
"Verify GET /posts/{id} returns 404 for non-existent IDs","62","testGetPostNotFound","REST Assured API Test Suite","2026-06-08","passed","2026-06-08","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostNotFound"
"Verify GET /todos/{id} returns 404 for invalid IDs","49","testGetTodoNotFound","REST Assured API Test Suite","2026-06-08","passed","2026-06-08","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoNotFound"
"Verify GET /photos/{id} returns correct photo data","87","testGetPhotoById","REST Assured API Test Suite","2026-06-08","passed","2026-06-08","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoById"
"Verify GET /posts/{id} returns correct post data","136","testGetPostById","REST Assured API Test Suite","2026-06-08","failed","2026-06-08","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostById"
"Verify GET /comments/{id} returns correct comment data","282","testGetCommentById","REST Assured API Test Suite","2026-06-08","failed","2026-06-08","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentById"
"Verify GET /albums/{id} returns correct album data","82","testGetAlbumById","REST Assured API Test Suite","2026-06-08","passed","2026-06-08","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumById"
"Verify response structure matches user JSON schema","62","testUserSchemaValidation","REST Assured API Test Suite","2026-06-08","passed","2026-06-08","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testUserSchemaValidation"
