"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","2","Todos","10","0","","0"
"0","","4","Posts","9","0","","0"
"0","","0","Photos","11","0","","0"
"0","","3","Users","10","0","","0"
"0","","4","Comments","6","0","","0"
"0","","0","Albums","13","0","","0"
