"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify GET /todos/{id} returns 404 for invalid IDs","138","testGetTodoNotFound","REST Assured API Test Suite","2026-09-18","passed","2026-09-18","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoNotFound"
"Verify GET /posts/{id} returns 404 for non-existent IDs","1443","testGetPostNotFound","REST Assured API Test Suite","2026-09-18","passed","2026-09-18","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostNotFound"
"Verify GET /users/{id} returns 404 for invalid IDs","232","testGetUserNotFound","REST Assured API Test Suite","2026-09-18","passed","2026-09-18","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserNotFound"
"Verify GET /albums/{id} returns 404 for non-existent IDs","134","testGetAlbumNotFound","REST Assured API Test Suite","2026-09-18","passed","2026-09-18","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumNotFound"
"Verify Content-Type header and response time for comments","194","testCommentHeaders","REST Assured API Test Suite","2026-09-18","passed","2026-09-18","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testCommentHeaders"
"Verify GET /todos?completed=false returns only incomplete todos","235","testFilterIncompleteTodos","REST Assured API Test Suite","2026-09-18","passed","2026-09-18","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testFilterIncompleteTodos"
"Verify GET /comments/{id} returns 404 for invalid IDs","157","testGetCommentNotFound","REST Assured API Test Suite","2026-09-18","passed","2026-09-18","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentNotFound"
"Verify GET /users/{id} returns 404 for invalid IDs","198","testGetUserNotFound","REST Assured API Test Suite","2026-09-18","passed","2026-09-18","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserNotFound"
"Verify GET /photos/{id} returns correct photo data","252","testGetPhotoById","REST Assured API Test Suite","2026-09-18","passed","2026-09-18","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoById"
"Verify POST /todos creates a todo and returns 201","241","testCreateTodo","REST Assured API Test Suite","2026-09-18","failed","2026-09-18","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testCreateTodo"
"Verify GET /users returns all 10 users","198","testGetAllUsers","REST Assured API Test Suite","2026-09-18","passed","2026-09-18","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetAllUsers"
"Verify GET /comments/{id} returns 404 for invalid IDs","151","testGetCommentNotFound","REST Assured API Test Suite","2026-09-18","passed","2026-09-18","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentNotFound"
"Verify relationship: user has many todos","142","testGetUserTodos","REST Assured API Test Suite","2026-09-18","passed","2026-09-18","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserTodos"
"Verify GET /photos?albumId=1 filters photos by album","208","testFilterPhotosByAlbumId","REST Assured API Test Suite","2026-09-18","passed","2026-09-18","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testFilterPhotosByAlbumId"
"Verify PUT /todos/1 fully updates the todo","222","testUpdateTodo","REST Assured API Test Suite","2026-09-18","failed","2026-09-18","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testUpdateTodo"
"Verify photo URLs are non-null and non-empty","199","testPhotoUrlFormat","REST Assured API Test Suite","2026-09-18","passed","2026-09-18","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testPhotoUrlFormat"
"Verify POST /comments creates a comment and returns 201","241","testCreateComment","REST Assured API Test Suite","2026-09-18","failed","2026-09-18","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testCreateComment"
"Verify GET /users/{id} returns 404 for invalid IDs","1817","testGetUserNotFound","REST Assured API Test Suite","2026-09-18","passed","2026-09-18","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserNotFound"
"Verify GET /photos/{id} returns 404 for invalid IDs","239","testGetPhotoNotFound","REST Assured API Test Suite","2026-09-18","passed","2026-09-18","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoNotFound"
"Verify relationship: user has many albums","209","testGetUserAlbums","REST Assured API Test Suite","2026-09-18","passed","2026-09-18","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserAlbums"
"Verify response structure matches post JSON schema","601","testPostSchemaValidation","REST Assured API Test Suite","2026-09-18","passed","2026-09-18","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testPostSchemaValidation"
"Verify POST /users creates a user and returns 201","568","testCreateUser","REST Assured API Test Suite","2026-09-18","passed","2026-09-18","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testCreateUser"
"Verify GET /todos/{id} returns 404 for invalid IDs","215","testGetTodoNotFound","REST Assured API Test Suite","2026-09-18","passed","2026-09-18","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoNotFound"
"Verify GET /todos/{id} returns correct todo data","217","testGetTodoById","REST Assured API Test Suite","2026-09-18","passed","2026-09-18","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoById"
"Verify GET /todos/{id} returns correct todo data","154","testGetTodoById","REST Assured API Test Suite","2026-09-18","passed","2026-09-18","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoById"
"Verify DELETE /albums/1 returns 200","382","testDeleteAlbum","REST Assured API Test Suite","2026-09-18","passed","2026-09-18","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testDeleteAlbum"
"Verify GET /comments/{id} returns correct comment data","249","testGetCommentById","REST Assured API Test Suite","2026-09-18","failed","2026-09-18","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentById"
"Verify GET /todos returns all 200 todos","205","testGetAllTodos","REST Assured API Test Suite","2026-09-18","passed","2026-09-18","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetAllTodos"
"Verify GET /posts/{id} returns correct post data","229","testGetPostById","REST Assured API Test Suite","2026-09-18","passed","2026-09-18","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostById"
"Verify POST /albums creates a new album and returns 201","209","testCreateAlbum","REST Assured API Test Suite","2026-09-18","passed","2026-09-18","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testCreateAlbum"
"Verify Content-Type header and response time for users","134","testUserHeaders","REST Assured API Test Suite","2026-09-18","passed","2026-09-18","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testUserHeaders"
"Verify GET /albums/{id} returns 404 for non-existent IDs","474","testGetAlbumNotFound","REST Assured API Test Suite","2026-09-18","passed","2026-09-18","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumNotFound"
"Verify GET /users/{id} returns correct user data","155","testGetUserById","REST Assured API Test Suite","2026-09-18","failed","2026-09-18","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserById"
"Verify response structure matches album JSON schema","131","testAlbumSchemaValidation","REST Assured API Test Suite","2026-09-18","passed","2026-09-18","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testAlbumSchemaValidation"
"Verify GET /photos/{id} returns correct photo data","157","testGetPhotoById","REST Assured API Test Suite","2026-09-18","passed","2026-09-18","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoById"
"Verify PUT /albums/1 updates the album and returns 200","257","testUpdateAlbum","REST Assured API Test Suite","2026-09-18","passed","2026-09-18","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testUpdateAlbum"
