"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify GET /comments/{id} returns 404 for invalid IDs","110","testGetCommentNotFound","REST Assured API Test Suite","Sat Apr 04 08:45:57 UTC 2026","passed","Sat Apr 04 08:45:57 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentNotFound"
"Verify Content-Type header and response time","87","testPostHeaders","REST Assured API Test Suite","Sat Apr 04 08:45:57 UTC 2026","passed","Sat Apr 04 08:45:57 UTC 2026","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testPostHeaders"
"Verify GET /comments returns all 500 comments","151","testGetAllComments","REST Assured API Test Suite","Sat Apr 04 08:45:57 UTC 2026","passed","Sat Apr 04 08:45:57 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetAllComments"
"Verify GET /todos/{id} returns 404 for invalid IDs","94","testGetTodoNotFound","REST Assured API Test Suite","Sat Apr 04 08:46:01 UTC 2026","passed","Sat Apr 04 08:46:01 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoNotFound"
"Verify GET /photos/{id} returns 404 for invalid IDs","110","testGetPhotoNotFound","REST Assured API Test Suite","Sat Apr 04 08:46:00 UTC 2026","passed","Sat Apr 04 08:46:00 UTC 2026","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoNotFound"
"Verify POST /photos creates a photo and returns 201","68","testCreatePhoto","REST Assured API Test Suite","Sat Apr 04 08:46:00 UTC 2026","passed","Sat Apr 04 08:46:00 UTC 2026","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testCreatePhoto"
"Verify relationship: album has many photos linked by albumId","119","testGetAlbumPhotos","REST Assured API Test Suite","Sat Apr 04 08:45:58 UTC 2026","passed","Sat Apr 04 08:45:58 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumPhotos"
"Verify DELETE /posts/1 returns 200","61","testDeletePost","REST Assured API Test Suite","Sat Apr 04 08:45:56 UTC 2026","passed","Sat Apr 04 08:45:57 UTC 2026","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testDeletePost"
"Verify GET /todos/{id} returns correct todo data","66","testGetTodoById","REST Assured API Test Suite","Sat Apr 04 08:46:00 UTC 2026","passed","Sat Apr 04 08:46:00 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoById"
"Verify GET /photos/{id} returns correct photo data","121","testGetPhotoById","REST Assured API Test Suite","Sat Apr 04 08:45:59 UTC 2026","passed","Sat Apr 04 08:46:00 UTC 2026","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoById"
"Verify Content-Type header and response time for todos","29","testTodoHeaders","REST Assured API Test Suite","Sat Apr 04 08:46:01 UTC 2026","passed","Sat Apr 04 08:46:01 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testTodoHeaders"
"Verify GET /users returns all 10 users","33","testGetAllUsers","REST Assured API Test Suite","Sat Apr 04 08:46:01 UTC 2026","passed","Sat Apr 04 08:46:01 UTC 2026","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetAllUsers"
"Verify GET /albums/{id} returns 404 for non-existent IDs","113","testGetAlbumNotFound","REST Assured API Test Suite","Sat Apr 04 08:45:58 UTC 2026","passed","Sat Apr 04 08:45:58 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumNotFound"
"Verify response structure matches user JSON schema","48","testUserSchemaValidation","REST Assured API Test Suite","Sat Apr 04 08:46:01 UTC 2026","passed","Sat Apr 04 08:46:01 UTC 2026","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testUserSchemaValidation"
"Verify GET /albums/{id} returns correct album data","56","testGetAlbumById","REST Assured API Test Suite","Sat Apr 04 08:45:58 UTC 2026","passed","Sat Apr 04 08:45:58 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumById"
"Verify GET /albums/{id} returns correct album data","57","testGetAlbumById","REST Assured API Test Suite","Sat Apr 04 08:45:58 UTC 2026","passed","Sat Apr 04 08:45:58 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumById"
"Verify GET /comments/{id} returns correct comment data","62","testGetCommentById","REST Assured API Test Suite","Sat Apr 04 08:45:57 UTC 2026","failed","Sat Apr 04 08:45:57 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentById"
"Verify GET /todos/{id} returns 404 for invalid IDs","95","testGetTodoNotFound","REST Assured API Test Suite","Sat Apr 04 08:46:01 UTC 2026","passed","Sat Apr 04 08:46:01 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoNotFound"
"Verify POST /comments creates a comment and returns 201","70","testCreateComment","REST Assured API Test Suite","Sat Apr 04 08:45:58 UTC 2026","failed","Sat Apr 04 08:45:58 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testCreateComment"
"Verify GET /users/{id} returns 404 for invalid IDs","104","testGetUserNotFound","REST Assured API Test Suite","Sat Apr 04 08:46:01 UTC 2026","passed","Sat Apr 04 08:46:02 UTC 2026","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserNotFound"
"Verify GET /photos/{id} returns correct photo data","52","testGetPhotoById","REST Assured API Test Suite","Sat Apr 04 08:45:59 UTC 2026","passed","Sat Apr 04 08:45:59 UTC 2026","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoById"
"Verify GET /users/{id} returns correct user data","50","testGetUserById","REST Assured API Test Suite","Sat Apr 04 08:46:01 UTC 2026","failed","Sat Apr 04 08:46:01 UTC 2026","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserById"
"Verify PUT /todos/1 fully updates the todo","98","testUpdateTodo","REST Assured API Test Suite","Sat Apr 04 08:46:01 UTC 2026","failed","Sat Apr 04 08:46:01 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testUpdateTodo"
"Verify GET /comments/{id} returns 404 for invalid IDs","105","testGetCommentNotFound","REST Assured API Test Suite","Sat Apr 04 08:45:57 UTC 2026","passed","Sat Apr 04 08:45:58 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentNotFound"
"Verify GET /albums/{id} returns 404 for non-existent IDs","94","testGetAlbumNotFound","REST Assured API Test Suite","Sat Apr 04 08:45:58 UTC 2026","passed","Sat Apr 04 08:45:58 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumNotFound"
"Verify response structure matches album JSON schema","34","testAlbumSchemaValidation","REST Assured API Test Suite","Sat Apr 04 08:45:58 UTC 2026","passed","Sat Apr 04 08:45:58 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testAlbumSchemaValidation"
