"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify GET /albums returns all 100 albums","71","testGetAllAlbums","REST Assured API Test Suite","2026-09-20","passed","2026-09-20","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAllAlbums"
"Verify GET /albums/{id} returns 404 for non-existent IDs","37","testGetAlbumNotFound","REST Assured API Test Suite","2026-09-20","passed","2026-09-20","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumNotFound"
"Verify GET /users/{id} returns correct user data","47","testGetUserById","REST Assured API Test Suite","2026-09-20","failed","2026-09-20","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserById"
"Verify GET /users returns all 10 users","39","testGetAllUsers","REST Assured API Test Suite","2026-09-20","passed","2026-09-20","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetAllUsers"
"Verify GET /todos/{id} returns 404 for invalid IDs","32","testGetTodoNotFound","REST Assured API Test Suite","2026-09-20","passed","2026-09-20","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoNotFound"
"Verify GET /albums/{id} returns correct album data","85","testGetAlbumById","REST Assured API Test Suite","2026-09-20","passed","2026-09-20","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumById"
"Verify DELETE /albums/1 returns 200","42","testDeleteAlbum","REST Assured API Test Suite","2026-09-20","passed","2026-09-20","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testDeleteAlbum"
"Verify relationship: user has many todos","38","testGetUserTodos","REST Assured API Test Suite","2026-09-20","passed","2026-09-20","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserTodos"
"Verify GET /comments returns all 500 comments","230","testGetAllComments","REST Assured API Test Suite","2026-09-20","passed","2026-09-20","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetAllComments"
"Verify relationship: user has many posts","38","testGetUserPosts","REST Assured API Test Suite","2026-09-20","passed","2026-09-20","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserPosts"
"Verify GET /albums/{id} returns 404 for non-existent IDs","71","testGetAlbumNotFound","REST Assured API Test Suite","2026-09-20","passed","2026-09-20","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumNotFound"
"Verify Content-Type header and response time for comments","34","testCommentHeaders","REST Assured API Test Suite","2026-09-20","passed","2026-09-20","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testCommentHeaders"
"Verify GET /todos/{id} returns correct todo data","46","testGetTodoById","REST Assured API Test Suite","2026-09-20","passed","2026-09-20","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoById"
"Verify POST /users creates a user and returns 201","72","testCreateUser","REST Assured API Test Suite","2026-09-20","passed","2026-09-20","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testCreateUser"
"Verify GET /todos?completed=true returns only completed todos","45","testFilterCompletedTodos","REST Assured API Test Suite","2026-09-20","passed","2026-09-20","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testFilterCompletedTodos"
