"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify GET /users/{id} returns correct user data","45","testGetUserById","REST Assured API Test Suite","2026-07-02","failed","2026-07-02","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserById"
"Verify Content-Type header and response time for todos","28","testTodoHeaders","REST Assured API Test Suite","2026-07-02","passed","2026-07-02","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testTodoHeaders"
"Verify GET /comments/{id} returns 404 for invalid IDs","121","testGetCommentNotFound","REST Assured API Test Suite","2026-07-02","passed","2026-07-02","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentNotFound"
"Verify GET /comments returns all 500 comments","191","testGetAllComments","REST Assured API Test Suite","2026-07-02","passed","2026-07-02","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetAllComments"
"Verify GET /posts/{id} returns 404 for non-existent IDs","47","testGetPostNotFound","REST Assured API Test Suite","2026-07-02","passed","2026-07-02","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostNotFound"
"Verify GET /albums returns all 100 albums","52","testGetAllAlbums","REST Assured API Test Suite","2026-07-02","passed","2026-07-02","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAllAlbums"
"Verify GET /users/{id} returns correct user data","52","testGetUserById","REST Assured API Test Suite","2026-07-02","failed","2026-07-02","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserById"
"Verify GET /posts/{id} returns correct post data","74","testGetPostById","REST Assured API Test Suite","2026-07-02","failed","2026-07-02","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostById"
"Verify PUT /posts/1 fully updates the post","133","testUpdatePost","REST Assured API Test Suite","2026-07-02","passed","2026-07-02","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testUpdatePost"
"Verify GET /photos/{id} returns 404 for invalid IDs","115","testGetPhotoNotFound","REST Assured API Test Suite","2026-07-02","passed","2026-07-02","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoNotFound"
"Verify PUT /albums/1 updates the album and returns 200","120","testUpdateAlbum","REST Assured API Test Suite","2026-07-02","passed","2026-07-02","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testUpdateAlbum"
"Verify response structure matches album JSON schema","38","testAlbumSchemaValidation","REST Assured API Test Suite","2026-07-02","passed","2026-07-02","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testAlbumSchemaValidation"
"Verify PUT /todos/1 fully updates the todo","119","testUpdateTodo","REST Assured API Test Suite","2026-07-02","failed","2026-07-02","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testUpdateTodo"
"Verify relationship: user has many albums","108","testGetUserAlbums","REST Assured API Test Suite","2026-07-02","passed","2026-07-02","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserAlbums"
"Verify GET /todos?completed=true returns only completed todos","42","testFilterCompletedTodos","REST Assured API Test Suite","2026-07-02","passed","2026-07-02","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testFilterCompletedTodos"
"Verify GET /users/{id} returns 404 for invalid IDs","40","testGetUserNotFound","REST Assured API Test Suite","2026-07-02","passed","2026-07-02","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserNotFound"
"Verify relationship: album has many photos linked by albumId","134","testGetAlbumPhotos","REST Assured API Test Suite","2026-07-02","passed","2026-07-02","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumPhotos"
"Verify GET /comments/{id} returns correct comment data","71","testGetCommentById","REST Assured API Test Suite","2026-07-02","failed","2026-07-02","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentById"
"Verify POST /posts creates a new post and returns 201","203","testCreatePost","REST Assured API Test Suite","2026-07-02","failed","2026-07-02","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testCreatePost"
"Verify relationship: user has many posts","40","testGetUserPosts","REST Assured API Test Suite","2026-07-02","passed","2026-07-02","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserPosts"
"Verify GET /todos returns all 200 todos","47","testGetAllTodos","REST Assured API Test Suite","2026-07-02","passed","2026-07-02","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetAllTodos"
"Verify DELETE /albums/1 returns 200","55","testDeleteAlbum","REST Assured API Test Suite","2026-07-02","passed","2026-07-02","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testDeleteAlbum"
"Verify GET /photos/{id} returns correct photo data","138","testGetPhotoById","REST Assured API Test Suite","2026-07-02","passed","2026-07-02","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoById"
