"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","5","Posts","8","0","","0"
"0","","2","Todos","10","0","","0"
"0","","6","Comments","4","0","","0"
"0","","0","Albums","13","0","","0"
"0","","3","Users","10","0","","0"
"0","","1","Photos","10","0","","0"
