"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify Content-Type header and response time for todos","31","testTodoHeaders","REST Assured API Test Suite","Mon Apr 20 10:01:18 UTC 2026","passed","Mon Apr 20 10:01:18 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testTodoHeaders"
"Verify GET /photos/{id} returns correct photo data","52","testGetPhotoById","REST Assured API Test Suite","Mon Apr 20 10:01:17 UTC 2026","passed","Mon Apr 20 10:01:17 UTC 2026","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoById"
"Verify GET /photos returns all 5000 photos","523","testGetAllPhotos","REST Assured API Test Suite","Mon Apr 20 10:01:16 UTC 2026","passed","Mon Apr 20 10:01:17 UTC 2026","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetAllPhotos"
"Verify relationship: album has many photos linked by albumId","52","testGetAlbumPhotos","REST Assured API Test Suite","Mon Apr 20 10:01:15 UTC 2026","passed","Mon Apr 20 10:01:16 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumPhotos"
"Verify GET /albums/{id} returns correct album data","57","testGetAlbumById","REST Assured API Test Suite","Mon Apr 20 10:01:15 UTC 2026","passed","Mon Apr 20 10:01:15 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumById"
"Verify GET /todos/{id} returns correct todo data","82","testGetTodoById","REST Assured API Test Suite","Mon Apr 20 10:01:18 UTC 2026","passed","Mon Apr 20 10:01:18 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoById"
"Verify GET /comments/{id} returns correct comment data","128","testGetCommentById","REST Assured API Test Suite","Mon Apr 20 10:01:14 UTC 2026","failed","Mon Apr 20 10:01:15 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentById"
"Verify photo URLs are non-null and non-empty","45","testPhotoUrlFormat","REST Assured API Test Suite","Mon Apr 20 10:01:17 UTC 2026","passed","Mon Apr 20 10:01:17 UTC 2026","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testPhotoUrlFormat"
"Verify GET /users returns all 10 users","40","testGetAllUsers","REST Assured API Test Suite","Mon Apr 20 10:01:18 UTC 2026","passed","Mon Apr 20 10:01:18 UTC 2026","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetAllUsers"
"Verify GET /photos/{id} returns correct photo data","53","testGetPhotoById","REST Assured API Test Suite","Mon Apr 20 10:01:17 UTC 2026","passed","Mon Apr 20 10:01:17 UTC 2026","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoById"
"Verify PUT /todos/1 fully updates the todo","94","testUpdateTodo","REST Assured API Test Suite","Mon Apr 20 10:01:18 UTC 2026","failed","Mon Apr 20 10:01:18 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testUpdateTodo"
"Verify GET /users/{id} returns 404 for invalid IDs","31","testGetUserNotFound","REST Assured API Test Suite","Mon Apr 20 10:01:19 UTC 2026","passed","Mon Apr 20 10:01:19 UTC 2026","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserNotFound"
