"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify GET /todos?completed=true returns only completed todos","48","testFilterCompletedTodos","REST Assured API Test Suite","Fri Apr 17 09:21:52 UTC 2026","passed","Fri Apr 17 09:21:52 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testFilterCompletedTodos"
"Verify GET /todos/{id} returns correct todo data","51","testGetTodoById","REST Assured API Test Suite","Fri Apr 17 09:21:52 UTC 2026","passed","Fri Apr 17 09:21:52 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoById"
"Verify POST /comments creates a comment and returns 201","48","testCreateComment","REST Assured API Test Suite","Fri Apr 17 09:21:49 UTC 2026","failed","Fri Apr 17 09:21:49 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testCreateComment"
"Verify GET /photos/{id} returns correct photo data","62","testGetPhotoById","REST Assured API Test Suite","Fri Apr 17 09:21:51 UTC 2026","passed","Fri Apr 17 09:21:51 UTC 2026","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoById"
"Verify GET /posts/{id} returns correct post data","81","testGetPostById","REST Assured API Test Suite","Fri Apr 17 09:21:47 UTC 2026","passed","Fri Apr 17 09:21:47 UTC 2026","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostById"
"Verify GET /posts/{id} returns 404 for non-existent IDs","44","testGetPostNotFound","REST Assured API Test Suite","Fri Apr 17 09:21:48 UTC 2026","passed","Fri Apr 17 09:21:48 UTC 2026","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostNotFound"
"Verify Content-Type header and response time for comments","42","testCommentHeaders","REST Assured API Test Suite","Fri Apr 17 09:21:49 UTC 2026","passed","Fri Apr 17 09:21:49 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testCommentHeaders"
"Verify response structure matches user JSON schema","48","testUserSchemaValidation","REST Assured API Test Suite","Fri Apr 17 09:21:52 UTC 2026","passed","Fri Apr 17 09:21:52 UTC 2026","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testUserSchemaValidation"
"Verify GET /comments/{id} returns 404 for invalid IDs","64","testGetCommentNotFound","REST Assured API Test Suite","Fri Apr 17 09:21:49 UTC 2026","passed","Fri Apr 17 09:21:49 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentNotFound"
"Verify GET /users returns all 10 users","37","testGetAllUsers","REST Assured API Test Suite","Fri Apr 17 09:21:52 UTC 2026","passed","Fri Apr 17 09:21:52 UTC 2026","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetAllUsers"
"Verify GET /albums/{id} returns 404 for non-existent IDs","59","testGetAlbumNotFound","REST Assured API Test Suite","Fri Apr 17 09:21:50 UTC 2026","passed","Fri Apr 17 09:21:50 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumNotFound"
"Verify GET /photos/{id} returns correct photo data","88","testGetPhotoById","REST Assured API Test Suite","Fri Apr 17 09:21:51 UTC 2026","passed","Fri Apr 17 09:21:51 UTC 2026","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoById"
"Verify GET /albums/{id} returns correct album data","77","testGetAlbumById","REST Assured API Test Suite","Fri Apr 17 09:21:50 UTC 2026","passed","Fri Apr 17 09:21:50 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumById"
"Verify GET /comments/{id} returns correct comment data","64","testGetCommentById","REST Assured API Test Suite","Fri Apr 17 09:21:49 UTC 2026","failed","Fri Apr 17 09:21:49 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentById"
"Verify Content-Type header and response time for photos","46","testPhotoHeaders","REST Assured API Test Suite","Fri Apr 17 09:21:51 UTC 2026","passed","Fri Apr 17 09:21:51 UTC 2026","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testPhotoHeaders"
"Verify relationship: album has many photos linked by albumId","69","testGetAlbumPhotos","REST Assured API Test Suite","Fri Apr 17 09:21:50 UTC 2026","passed","Fri Apr 17 09:21:50 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumPhotos"
"Verify GET /todos/{id} returns 404 for invalid IDs","45","testGetTodoNotFound","REST Assured API Test Suite","Fri Apr 17 09:21:52 UTC 2026","passed","Fri Apr 17 09:21:52 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoNotFound"
"Verify relationship: user has many albums","37","testGetUserAlbums","REST Assured API Test Suite","Fri Apr 17 09:21:53 UTC 2026","passed","Fri Apr 17 09:21:53 UTC 2026","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserAlbums"
"Verify GET /comments returns all 500 comments","168","testGetAllComments","REST Assured API Test Suite","Fri Apr 17 09:21:49 UTC 2026","passed","Fri Apr 17 09:21:49 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetAllComments"
"Verify GET /todos/{id} returns correct todo data","72","testGetTodoById","REST Assured API Test Suite","Fri Apr 17 09:21:52 UTC 2026","passed","Fri Apr 17 09:21:52 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoById"
"Verify GET /albums/{id} returns 404 for non-existent IDs","65","testGetAlbumNotFound","REST Assured API Test Suite","Fri Apr 17 09:21:50 UTC 2026","passed","Fri Apr 17 09:21:50 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumNotFound"
"Verify PUT /todos/1 fully updates the todo","57","testUpdateTodo","REST Assured API Test Suite","Fri Apr 17 09:21:52 UTC 2026","failed","Fri Apr 17 09:21:52 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testUpdateTodo"
"Verify response structure matches album JSON schema","40","testAlbumSchemaValidation","REST Assured API Test Suite","Fri Apr 17 09:21:50 UTC 2026","passed","Fri Apr 17 09:21:50 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testAlbumSchemaValidation"
"Verify GET /albums/{id} returns correct album data","70","testGetAlbumById","REST Assured API Test Suite","Fri Apr 17 09:21:50 UTC 2026","passed","Fri Apr 17 09:21:50 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumById"
"Verify GET /comments/{id} returns correct comment data","67","testGetCommentById","REST Assured API Test Suite","Fri Apr 17 09:21:49 UTC 2026","failed","Fri Apr 17 09:21:49 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentById"
"Verify POST /todos creates a todo and returns 201","48","testCreateTodo","REST Assured API Test Suite","Fri Apr 17 09:21:52 UTC 2026","failed","Fri Apr 17 09:21:52 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testCreateTodo"
"Verify GET /comments/{id} returns correct comment data","96","testGetCommentById","REST Assured API Test Suite","Fri Apr 17 09:21:49 UTC 2026","failed","Fri Apr 17 09:21:49 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentById"
"Verify Content-Type header and response time","32","testAlbumHeaders","REST Assured API Test Suite","Fri Apr 17 09:21:50 UTC 2026","passed","Fri Apr 17 09:21:50 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testAlbumHeaders"
"Verify GET /users/{id} returns correct user data","62","testGetUserById","REST Assured API Test Suite","Fri Apr 17 09:21:52 UTC 2026","failed","Fri Apr 17 09:21:52 UTC 2026","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserById"
"Verify response structure matches post JSON schema","720","testPostSchemaValidation","REST Assured API Test Suite","Fri Apr 17 09:21:47 UTC 2026","passed","Fri Apr 17 09:21:48 UTC 2026","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testPostSchemaValidation"
"Verify GET /todos/{id} returns correct todo data","56","testGetTodoById","REST Assured API Test Suite","Fri Apr 17 09:21:51 UTC 2026","passed","Fri Apr 17 09:21:52 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoById"
"Verify GET /photos?albumId=1 filters photos by album","47","testFilterPhotosByAlbumId","REST Assured API Test Suite","Fri Apr 17 09:21:51 UTC 2026","passed","Fri Apr 17 09:21:51 UTC 2026","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testFilterPhotosByAlbumId"
"Verify GET /comments?postId=1 filters comments by post","60","testFilterCommentsByPostId","REST Assured API Test Suite","Fri Apr 17 09:21:49 UTC 2026","passed","Fri Apr 17 09:21:49 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testFilterCommentsByPostId"
"Verify GET /photos/{id} returns 404 for invalid IDs","49","testGetPhotoNotFound","REST Assured API Test Suite","Fri Apr 17 09:21:51 UTC 2026","passed","Fri Apr 17 09:21:51 UTC 2026","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoNotFound"
"Verify POST /albums creates a new album and returns 201","71","testCreateAlbum","REST Assured API Test Suite","Fri Apr 17 09:21:50 UTC 2026","passed","Fri Apr 17 09:21:50 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testCreateAlbum"
"Verify PUT /albums/1 updates the album and returns 200","80","testUpdateAlbum","REST Assured API Test Suite","Fri Apr 17 09:21:50 UTC 2026","passed","Fri Apr 17 09:21:50 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testUpdateAlbum"
"Verify GET /posts returns all 100 posts","2416","testGetAllPosts","REST Assured API Test Suite","Fri Apr 17 09:21:45 UTC 2026","passed","Fri Apr 17 09:21:47 UTC 2026","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetAllPosts"
"Verify GET /albums/{id} returns 404 for non-existent IDs","72","testGetAlbumNotFound","REST Assured API Test Suite","Fri Apr 17 09:21:50 UTC 2026","passed","Fri Apr 17 09:21:50 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumNotFound"
"Verify GET /posts/{id} returns correct post data","75","testGetPostById","REST Assured API Test Suite","Fri Apr 17 09:21:47 UTC 2026","failed","Fri Apr 17 09:21:47 UTC 2026","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostById"
"Verify POST /photos creates a photo and returns 201","65","testCreatePhoto","REST Assured API Test Suite","Fri Apr 17 09:21:51 UTC 2026","passed","Fri Apr 17 09:21:51 UTC 2026","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testCreatePhoto"
"Verify GET /photos/{id} returns 404 for invalid IDs","53","testGetPhotoNotFound","REST Assured API Test Suite","Fri Apr 17 09:21:51 UTC 2026","passed","Fri Apr 17 09:21:51 UTC 2026","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoNotFound"
"Verify GET /users/{id} returns correct user data","59","testGetUserById","REST Assured API Test Suite","Fri Apr 17 09:21:52 UTC 2026","failed","Fri Apr 17 09:21:52 UTC 2026","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserById"
"Verify GET /albums returns all 100 albums","52","testGetAllAlbums","REST Assured API Test Suite","Fri Apr 17 09:21:49 UTC 2026","passed","Fri Apr 17 09:21:50 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAllAlbums"
"Verify relationship: user has many todos","41","testGetUserTodos","REST Assured API Test Suite","Fri Apr 17 09:21:53 UTC 2026","passed","Fri Apr 17 09:21:53 UTC 2026","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserTodos"
"Verify GET /posts/{id} returns 404 for non-existent IDs","51","testGetPostNotFound","REST Assured API Test Suite","Fri Apr 17 09:21:48 UTC 2026","passed","Fri Apr 17 09:21:48 UTC 2026","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostNotFound"
"Verify GET /photos/{id} returns 404 for invalid IDs","78","testGetPhotoNotFound","REST Assured API Test Suite","Fri Apr 17 09:21:51 UTC 2026","passed","Fri Apr 17 09:21:51 UTC 2026","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoNotFound"
"Verify GET /posts/{id} returns correct post data","115","testGetPostById","REST Assured API Test Suite","Fri Apr 17 09:21:47 UTC 2026","failed","Fri Apr 17 09:21:47 UTC 2026","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostById"
"Verify GET /users/{id} returns 404 for invalid IDs","50","testGetUserNotFound","REST Assured API Test Suite","Fri Apr 17 09:21:52 UTC 2026","passed","Fri Apr 17 09:21:52 UTC 2026","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserNotFound"
"Verify GET /comments/{id} returns 404 for invalid IDs","39","testGetCommentNotFound","REST Assured API Test Suite","Fri Apr 17 09:21:49 UTC 2026","passed","Fri Apr 17 09:21:49 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentNotFound"
