"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify GET /posts/{id} returns correct post data","179","testGetPostById","REST Assured API Test Suite","2026-08-04","passed","2026-08-04","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostById"
"Verify GET /albums/{id} returns 404 for non-existent IDs","330","testGetAlbumNotFound","REST Assured API Test Suite","2026-08-04","passed","2026-08-04","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumNotFound"
"Verify photo URLs are non-null and non-empty","133","testPhotoUrlFormat","REST Assured API Test Suite","2026-08-04","passed","2026-08-04","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testPhotoUrlFormat"
"Verify GET /comments/{id} returns correct comment data","155","testGetCommentById","REST Assured API Test Suite","2026-08-04","failed","2026-08-04","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentById"
"Verify GET /photos/{id} returns correct photo data","357","testGetPhotoById","REST Assured API Test Suite","2026-08-04","passed","2026-08-04","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoById"
"Verify GET /comments/{id} returns 404 for invalid IDs","336","testGetCommentNotFound","REST Assured API Test Suite","2026-08-04","passed","2026-08-04","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentNotFound"
"Verify GET /albums/{id} returns 404 for non-existent IDs","331","testGetAlbumNotFound","REST Assured API Test Suite","2026-08-04","passed","2026-08-04","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumNotFound"
"Verify PUT /albums/1 updates the album and returns 200","348","testUpdateAlbum","REST Assured API Test Suite","2026-08-04","passed","2026-08-04","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testUpdateAlbum"
"Verify Content-Type header and response time","117","testAlbumHeaders","REST Assured API Test Suite","2026-08-04","passed","2026-08-04","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testAlbumHeaders"
"Verify GET /posts/{id} returns correct post data","173","testGetPostById","REST Assured API Test Suite","2026-08-04","failed","2026-08-04","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostById"
"Verify GET /todos/{id} returns 404 for invalid IDs","342","testGetTodoNotFound","REST Assured API Test Suite","2026-08-04","passed","2026-08-04","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoNotFound"
"Verify GET /todos/{id} returns 404 for invalid IDs","341","testGetTodoNotFound","REST Assured API Test Suite","2026-08-04","passed","2026-08-04","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoNotFound"
"Verify GET /posts/{id} returns 404 for non-existent IDs","356","testGetPostNotFound","REST Assured API Test Suite","2026-08-04","passed","2026-08-04","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostNotFound"
"Verify GET /comments returns all 500 comments","288","testGetAllComments","REST Assured API Test Suite","2026-08-04","passed","2026-08-04","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetAllComments"
"Verify GET /albums/{id} returns correct album data","147","testGetAlbumById","REST Assured API Test Suite","2026-08-04","passed","2026-08-04","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumById"
"Verify GET /todos?completed=false returns only incomplete todos","131","testFilterIncompleteTodos","REST Assured API Test Suite","2026-08-04","passed","2026-08-04","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testFilterIncompleteTodos"
"Verify GET /comments/{id} returns 404 for invalid IDs","329","testGetCommentNotFound","REST Assured API Test Suite","2026-08-04","passed","2026-08-04","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentNotFound"
"Verify POST /todos creates a todo and returns 201","200","testCreateTodo","REST Assured API Test Suite","2026-08-04","failed","2026-08-04","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testCreateTodo"
"Verify Content-Type header and response time for photos","124","testPhotoHeaders","REST Assured API Test Suite","2026-08-04","passed","2026-08-04","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testPhotoHeaders"
"Verify GET /albums returns all 100 albums","346","testGetAllAlbums","REST Assured API Test Suite","2026-08-04","passed","2026-08-04","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAllAlbums"
"Verify POST /comments creates a comment and returns 201","204","testCreateComment","REST Assured API Test Suite","2026-08-04","failed","2026-08-04","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testCreateComment"
"Verify Content-Type header and response time for comments","131","testCommentHeaders","REST Assured API Test Suite","2026-08-04","passed","2026-08-04","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testCommentHeaders"
"Verify GET /photos/{id} returns 404 for invalid IDs","339","testGetPhotoNotFound","REST Assured API Test Suite","2026-08-04","passed","2026-08-04","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoNotFound"
"Verify GET /photos/{id} returns correct photo data","152","testGetPhotoById","REST Assured API Test Suite","2026-08-04","passed","2026-08-04","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoById"
"Verify POST /users creates a user and returns 201","206","testCreateUser","REST Assured API Test Suite","2026-08-04","passed","2026-08-04","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testCreateUser"
"Verify Content-Type header and response time for users","124","testUserHeaders","REST Assured API Test Suite","2026-08-04","passed","2026-08-04","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testUserHeaders"
"Verify response structure matches album JSON schema","124","testAlbumSchemaValidation","REST Assured API Test Suite","2026-08-04","passed","2026-08-04","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testAlbumSchemaValidation"
"Verify GET /todos?completed=true returns only completed todos","140","testFilterCompletedTodos","REST Assured API Test Suite","2026-08-04","passed","2026-08-04","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testFilterCompletedTodos"
