"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify GET /comments/{id} returns correct comment data","244","testGetCommentById","REST Assured API Test Suite","2026-08-02","failed","2026-08-02","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentById"
"Verify GET /todos returns all 200 todos","39","testGetAllTodos","REST Assured API Test Suite","2026-08-02","passed","2026-08-02","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetAllTodos"
"Verify GET /photos/{id} returns correct photo data","236","testGetPhotoById","REST Assured API Test Suite","2026-08-02","passed","2026-08-02","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoById"
"Verify relationship: user has many albums","27","testGetUserAlbums","REST Assured API Test Suite","2026-08-02","passed","2026-08-02","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserAlbums"
"Verify Content-Type header and response time","42","testPostHeaders","REST Assured API Test Suite","2026-08-02","passed","2026-08-02","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testPostHeaders"
"Verify POST /posts creates a new post and returns 201","170","testCreatePost","REST Assured API Test Suite","2026-08-02","failed","2026-08-02","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testCreatePost"
"Verify GET /users/{id} returns 404 for invalid IDs","24","testGetUserNotFound","REST Assured API Test Suite","2026-08-02","passed","2026-08-02","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserNotFound"
"Verify GET /comments/{id} returns correct comment data","243","testGetCommentById","REST Assured API Test Suite","2026-08-02","failed","2026-08-02","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentById"
"Verify POST /photos creates a photo and returns 201","94","testCreatePhoto","REST Assured API Test Suite","2026-08-02","passed","2026-08-02","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testCreatePhoto"
"Verify GET /albums/{id} returns 404 for non-existent IDs","228","testGetAlbumNotFound","REST Assured API Test Suite","2026-08-02","passed","2026-08-02","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumNotFound"
"Verify GET /albums returns all 100 albums","38","testGetAllAlbums","REST Assured API Test Suite","2026-08-02","passed","2026-08-02","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAllAlbums"
