"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify GET /comments/{id} returns correct comment data","161","testGetCommentById","REST Assured API Test Suite","Wed Mar 25 08:56:06 UTC 2026","failed","Wed Mar 25 08:56:06 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentById"
"Verify GET /photos?albumId=1 filters photos by album","184","testFilterPhotosByAlbumId","REST Assured API Test Suite","Wed Mar 25 08:56:09 UTC 2026","passed","Wed Mar 25 08:56:09 UTC 2026","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testFilterPhotosByAlbumId"
"Verify Content-Type header and response time for comments","69","testCommentHeaders","REST Assured API Test Suite","Wed Mar 25 08:56:07 UTC 2026","passed","Wed Mar 25 08:56:07 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testCommentHeaders"
"Verify POST /photos creates a photo and returns 201","108","testCreatePhoto","REST Assured API Test Suite","Wed Mar 25 08:56:10 UTC 2026","passed","Wed Mar 25 08:56:10 UTC 2026","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testCreatePhoto"
"Verify relationship: user has many albums","88","testGetUserAlbums","REST Assured API Test Suite","Wed Mar 25 08:56:12 UTC 2026","passed","Wed Mar 25 08:56:12 UTC 2026","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserAlbums"
"Verify GET /todos returns all 200 todos","76","testGetAllTodos","REST Assured API Test Suite","Wed Mar 25 08:56:10 UTC 2026","passed","Wed Mar 25 08:56:10 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetAllTodos"
"Verify Content-Type header and response time for todos","65","testTodoHeaders","REST Assured API Test Suite","Wed Mar 25 08:56:11 UTC 2026","passed","Wed Mar 25 08:56:11 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testTodoHeaders"
"Verify GET /comments?postId=1 filters comments by post","90","testFilterCommentsByPostId","REST Assured API Test Suite","Wed Mar 25 08:56:06 UTC 2026","passed","Wed Mar 25 08:56:06 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testFilterCommentsByPostId"
"Verify relationship: album has many photos linked by albumId","88","testGetAlbumPhotos","REST Assured API Test Suite","Wed Mar 25 08:56:07 UTC 2026","passed","Wed Mar 25 08:56:07 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumPhotos"
"Verify GET /todos/{id} returns correct todo data","94","testGetTodoById","REST Assured API Test Suite","Wed Mar 25 08:56:10 UTC 2026","passed","Wed Mar 25 08:56:10 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoById"
"Verify GET /albums/{id} returns 404 for non-existent IDs","166","testGetAlbumNotFound","REST Assured API Test Suite","Wed Mar 25 08:56:07 UTC 2026","passed","Wed Mar 25 08:56:08 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumNotFound"
"Verify DELETE /posts/1 returns 200","95","testDeletePost","REST Assured API Test Suite","Wed Mar 25 08:56:05 UTC 2026","passed","Wed Mar 25 08:56:05 UTC 2026","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testDeletePost"
"Verify GET /photos/{id} returns correct photo data","139","testGetPhotoById","REST Assured API Test Suite","Wed Mar 25 08:56:09 UTC 2026","passed","Wed Mar 25 08:56:09 UTC 2026","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoById"
"Verify GET /albums/{id} returns correct album data","112","testGetAlbumById","REST Assured API Test Suite","Wed Mar 25 08:56:07 UTC 2026","passed","Wed Mar 25 08:56:07 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumById"
"Verify GET /photos returns all 5000 photos","544","testGetAllPhotos","REST Assured API Test Suite","Wed Mar 25 08:56:08 UTC 2026","passed","Wed Mar 25 08:56:09 UTC 2026","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetAllPhotos"
"Verify GET /comments/{id} returns 404 for invalid IDs","176","testGetCommentNotFound","REST Assured API Test Suite","Wed Mar 25 08:56:06 UTC 2026","passed","Wed Mar 25 08:56:06 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentNotFound"
"Verify GET /comments returns all 500 comments","225","testGetAllComments","REST Assured API Test Suite","Wed Mar 25 08:56:05 UTC 2026","passed","Wed Mar 25 08:56:05 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetAllComments"
