"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify GET /photos/{id} returns 404 for invalid IDs","181","testGetPhotoNotFound","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoNotFound"
"Verify relationship: user has many posts","60","testGetUserPosts","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserPosts"
"Verify PUT /posts/1 fully updates the post","157","testUpdatePost","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testUpdatePost"
"Verify GET /users/{id} returns correct user data","71","testGetUserById","REST Assured API Test Suite","2026-06-27","failed","2026-06-27","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserById"
"Verify GET /photos/{id} returns correct photo data","168","testGetPhotoById","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoById"
"Verify response structure matches post JSON schema","691","testPostSchemaValidation","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testPostSchemaValidation"
"Verify POST /users creates a user and returns 201","108","testCreateUser","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testCreateUser"
"Verify GET /todos/{id} returns 404 for invalid IDs","132","testGetTodoNotFound","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoNotFound"
"Verify response structure matches user JSON schema","89","testUserSchemaValidation","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testUserSchemaValidation"
"Verify GET /comments/{id} returns 404 for invalid IDs","180","testGetCommentNotFound","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentNotFound"
"Verify GET /albums/{id} returns correct album data","204","testGetAlbumById","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumById"
"Verify GET /photos returns all 5000 photos","520","testGetAllPhotos","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetAllPhotos"
"Verify relationship: user has many albums","182","testGetUserAlbums","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserAlbums"
"Verify GET /albums/{id} returns 404 for non-existent IDs","145","testGetAlbumNotFound","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumNotFound"
"Verify POST /posts creates a new post and returns 201","205","testCreatePost","REST Assured API Test Suite","2026-06-27","failed","2026-06-27","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testCreatePost"
"Verify GET /todos returns all 200 todos","76","testGetAllTodos","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetAllTodos"
"Verify POST /albums creates a new album and returns 201","100","testCreateAlbum","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testCreateAlbum"
"Verify GET /users/{id} returns 404 for invalid IDs","135","testGetUserNotFound","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserNotFound"
"Verify Content-Type header and response time for photos","65","testPhotoHeaders","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testPhotoHeaders"
"Verify Content-Type header and response time for todos","62","testTodoHeaders","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testTodoHeaders"
"Verify DELETE /albums/1 returns 200","78","testDeleteAlbum","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testDeleteAlbum"
"Verify response structure matches album JSON schema","71","testAlbumSchemaValidation","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testAlbumSchemaValidation"
"Verify GET /todos/{id} returns correct todo data","83","testGetTodoById","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoById"
"Verify GET /albums returns all 100 albums","76","testGetAllAlbums","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAllAlbums"
"Verify PUT /albums/1 updates the album and returns 200","142","testUpdateAlbum","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testUpdateAlbum"
"Verify PUT /todos/1 fully updates the todo","132","testUpdateTodo","REST Assured API Test Suite","2026-06-27","failed","2026-06-27","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testUpdateTodo"
"Verify relationship: user has many todos","184","testGetUserTodos","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserTodos"
"Verify GET /users/{id} returns 404 for invalid IDs","142","testGetUserNotFound","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserNotFound"
"Verify GET /posts/{id} returns correct post data","111","testGetPostById","REST Assured API Test Suite","2026-06-27","failed","2026-06-27","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostById"
"Verify relationship: album has many photos linked by albumId","176","testGetAlbumPhotos","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumPhotos"
"Verify GET /users/{id} returns correct user data","195","testGetUserById","REST Assured API Test Suite","2026-06-27","failed","2026-06-27","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserById"
"Verify GET /posts returns all 100 posts","2334","testGetAllPosts","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetAllPosts"
"Verify GET /users returns all 10 users","85","testGetAllUsers","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetAllUsers"
"Verify GET /photos/{id} returns 404 for invalid IDs","136","testGetPhotoNotFound","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoNotFound"
"Verify GET /photos/{id} returns 404 for invalid IDs","162","testGetPhotoNotFound","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoNotFound"
"Verify GET /albums/{id} returns 404 for non-existent IDs","178","testGetAlbumNotFound","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumNotFound"
"Verify GET /albums/{id} returns correct album data","89","testGetAlbumById","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumById"
"Verify GET /todos/{id} returns 404 for invalid IDs","126","testGetTodoNotFound","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoNotFound"
"Verify photo URLs are non-null and non-empty","75","testPhotoUrlFormat","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testPhotoUrlFormat"
"Verify GET /photos?albumId=1 filters photos by album","170","testFilterPhotosByAlbumId","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testFilterPhotosByAlbumId"
"Verify GET /photos/{id} returns correct photo data","170","testGetPhotoById","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoById"
"Verify GET /comments/{id} returns correct comment data","166","testGetCommentById","REST Assured API Test Suite","2026-06-27","failed","2026-06-27","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentById"
"Verify GET /todos/{id} returns correct todo data","88","testGetTodoById","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoById"
"Verify GET /todos/{id} returns correct todo data","109","testGetTodoById","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoById"
"Verify GET /users/{id} returns correct user data","104","testGetUserById","REST Assured API Test Suite","2026-06-27","failed","2026-06-27","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserById"
"Verify GET /todos?completed=false returns only incomplete todos","176","testFilterIncompleteTodos","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testFilterIncompleteTodos"
"Verify Content-Type header and response time","67","testAlbumHeaders","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testAlbumHeaders"
"Verify DELETE /posts/1 returns 200","86","testDeletePost","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testDeletePost"
"Verify GET /posts/{id} returns correct post data","113","testGetPostById","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostById"
"Verify GET /comments returns all 500 comments","223","testGetAllComments","REST Assured API Test Suite","2026-06-27","passed","2026-06-27","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetAllComments"
"Verify GET /comments/{id} returns correct comment data","217","testGetCommentById","REST Assured API Test Suite","2026-06-27","failed","2026-06-27","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentById"
