"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify GET /posts/{id} returns correct post data","130","testGetPostById","REST Assured API Test Suite","Sun May 24 09:57:34 UTC 2026","passed","Sun May 24 09:57:34 UTC 2026","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostById"
"Verify GET /photos?albumId=1 filters photos by album","196","testFilterPhotosByAlbumId","REST Assured API Test Suite","Sun May 24 09:57:42 UTC 2026","passed","Sun May 24 09:57:42 UTC 2026","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testFilterPhotosByAlbumId"
"Verify GET /todos returns all 200 todos","94","testGetAllTodos","REST Assured API Test Suite","Sun May 24 09:57:43 UTC 2026","passed","Sun May 24 09:57:43 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetAllTodos"
"Verify POST /photos creates a photo and returns 201","120","testCreatePhoto","REST Assured API Test Suite","Sun May 24 09:57:42 UTC 2026","passed","Sun May 24 09:57:42 UTC 2026","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testCreatePhoto"
"Verify GET /todos/{id} returns correct todo data","119","testGetTodoById","REST Assured API Test Suite","Sun May 24 09:57:43 UTC 2026","passed","Sun May 24 09:57:43 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoById"
"Verify GET /photos/{id} returns correct photo data","211","testGetPhotoById","REST Assured API Test Suite","Sun May 24 09:57:41 UTC 2026","passed","Sun May 24 09:57:41 UTC 2026","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoById"
"Verify relationship: user has many todos","187","testGetUserTodos","REST Assured API Test Suite","Sun May 24 09:57:46 UTC 2026","passed","Sun May 24 09:57:46 UTC 2026","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserTodos"
"Verify GET /albums/{id} returns 404 for non-existent IDs","182","testGetAlbumNotFound","REST Assured API Test Suite","Sun May 24 09:57:39 UTC 2026","passed","Sun May 24 09:57:39 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumNotFound"
"Verify GET /todos?completed=false returns only incomplete todos","193","testFilterIncompleteTodos","REST Assured API Test Suite","Sun May 24 09:57:43 UTC 2026","passed","Sun May 24 09:57:43 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testFilterIncompleteTodos"
"Verify Content-Type header and response time","109","testPostHeaders","REST Assured API Test Suite","Sun May 24 09:57:36 UTC 2026","passed","Sun May 24 09:57:36 UTC 2026","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testPostHeaders"
