"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify Content-Type header and response time for photos","33","testPhotoHeaders","REST Assured API Test Suite","Thu Apr 09 09:12:50 UTC 2026","passed","Thu Apr 09 09:12:50 UTC 2026","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testPhotoHeaders"
"Verify GET /albums/{id} returns 404 for non-existent IDs","108","testGetAlbumNotFound","REST Assured API Test Suite","Thu Apr 09 09:12:49 UTC 2026","passed","Thu Apr 09 09:12:49 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumNotFound"
"Verify GET /posts/{id} returns correct post data","113","testGetPostById","REST Assured API Test Suite","Thu Apr 09 09:12:45 UTC 2026","failed","Thu Apr 09 09:12:45 UTC 2026","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostById"
"Verify GET /comments/{id} returns correct comment data","140","testGetCommentById","REST Assured API Test Suite","Thu Apr 09 09:12:47 UTC 2026","failed","Thu Apr 09 09:12:47 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentById"
"Verify PUT /todos/1 fully updates the todo","102","testUpdateTodo","REST Assured API Test Suite","Thu Apr 09 09:12:51 UTC 2026","failed","Thu Apr 09 09:12:51 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testUpdateTodo"
"Verify PUT /albums/1 updates the album and returns 200","110","testUpdateAlbum","REST Assured API Test Suite","Thu Apr 09 09:12:49 UTC 2026","passed","Thu Apr 09 09:12:49 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testUpdateAlbum"
"Verify response structure matches album JSON schema","41","testAlbumSchemaValidation","REST Assured API Test Suite","Thu Apr 09 09:12:49 UTC 2026","passed","Thu Apr 09 09:12:49 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testAlbumSchemaValidation"
"Verify POST /users creates a user and returns 201","65","testCreateUser","REST Assured API Test Suite","Thu Apr 09 09:12:52 UTC 2026","passed","Thu Apr 09 09:12:52 UTC 2026","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testCreateUser"
"Verify relationship: album has many photos linked by albumId","67","testGetAlbumPhotos","REST Assured API Test Suite","Thu Apr 09 09:12:48 UTC 2026","passed","Thu Apr 09 09:12:48 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumPhotos"
"Verify GET /todos/{id} returns correct todo data","88","testGetTodoById","REST Assured API Test Suite","Thu Apr 09 09:12:51 UTC 2026","passed","Thu Apr 09 09:12:51 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoById"
