"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify Content-Type header and response time","82","testPostHeaders","REST Assured API Test Suite","Wed Apr 01 09:09:40 UTC 2026","passed","Wed Apr 01 09:09:40 UTC 2026","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testPostHeaders"
"Verify POST /photos creates a photo and returns 201","128","testCreatePhoto","REST Assured API Test Suite","Wed Apr 01 09:09:47 UTC 2026","passed","Wed Apr 01 09:09:47 UTC 2026","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testCreatePhoto"
"Verify GET /todos?completed=false returns only incomplete todos","282","testFilterIncompleteTodos","REST Assured API Test Suite","Wed Apr 01 09:09:47 UTC 2026","passed","Wed Apr 01 09:09:48 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testFilterIncompleteTodos"
"Verify relationship: album has many photos linked by albumId","69","testGetAlbumPhotos","REST Assured API Test Suite","Wed Apr 01 09:09:43 UTC 2026","passed","Wed Apr 01 09:09:43 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumPhotos"
"Verify GET /users/{id} returns correct user data","72","testGetUserById","REST Assured API Test Suite","Wed Apr 01 09:09:49 UTC 2026","failed","Wed Apr 01 09:09:49 UTC 2026","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserById"
"Verify DELETE /albums/1 returns 200","117","testDeleteAlbum","REST Assured API Test Suite","Wed Apr 01 09:09:44 UTC 2026","passed","Wed Apr 01 09:09:44 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testDeleteAlbum"
"Verify DELETE /posts/1 returns 200","121","testDeletePost","REST Assured API Test Suite","Wed Apr 01 09:09:40 UTC 2026","passed","Wed Apr 01 09:09:40 UTC 2026","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testDeletePost"
"Verify Content-Type header and response time for comments","56","testCommentHeaders","REST Assured API Test Suite","Wed Apr 01 09:09:42 UTC 2026","passed","Wed Apr 01 09:09:42 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testCommentHeaders"
"Verify POST /albums creates a new album and returns 201","139","testCreateAlbum","REST Assured API Test Suite","Wed Apr 01 09:09:44 UTC 2026","passed","Wed Apr 01 09:09:44 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testCreateAlbum"
"Verify Content-Type header and response time for users","51","testUserHeaders","REST Assured API Test Suite","Wed Apr 01 09:09:50 UTC 2026","passed","Wed Apr 01 09:09:50 UTC 2026","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testUserHeaders"
"Verify response structure matches user JSON schema","69","testUserSchemaValidation","REST Assured API Test Suite","Wed Apr 01 09:09:49 UTC 2026","passed","Wed Apr 01 09:09:49 UTC 2026","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testUserSchemaValidation"
"Verify GET /posts/{id} returns 404 for non-existent IDs","286","testGetPostNotFound","REST Assured API Test Suite","Wed Apr 01 09:09:39 UTC 2026","passed","Wed Apr 01 09:09:39 UTC 2026","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostNotFound"
"Verify GET /todos returns all 200 todos","71","testGetAllTodos","REST Assured API Test Suite","Wed Apr 01 09:09:47 UTC 2026","passed","Wed Apr 01 09:09:47 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetAllTodos"
"Verify GET /comments/{id} returns correct comment data","317","testGetCommentById","REST Assured API Test Suite","Wed Apr 01 09:09:41 UTC 2026","failed","Wed Apr 01 09:09:41 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentById"
"Verify GET /comments/{id} returns 404 for invalid IDs","267","testGetCommentNotFound","REST Assured API Test Suite","Wed Apr 01 09:09:41 UTC 2026","passed","Wed Apr 01 09:09:42 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentNotFound"
"Verify GET /users/{id} returns 404 for invalid IDs","261","testGetUserNotFound","REST Assured API Test Suite","Wed Apr 01 09:09:49 UTC 2026","passed","Wed Apr 01 09:09:50 UTC 2026","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserNotFound"
"Verify GET /albums/{id} returns correct album data","306","testGetAlbumById","REST Assured API Test Suite","Wed Apr 01 09:09:43 UTC 2026","passed","Wed Apr 01 09:09:43 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumById"
"Verify GET /todos/{id} returns correct todo data","93","testGetTodoById","REST Assured API Test Suite","Wed Apr 01 09:09:47 UTC 2026","passed","Wed Apr 01 09:09:47 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoById"
"Verify GET /posts/{id} returns correct post data","145","testGetPostById","REST Assured API Test Suite","Wed Apr 01 09:09:38 UTC 2026","failed","Wed Apr 01 09:09:38 UTC 2026","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostById"
"Verify GET /posts/{id} returns correct post data","110","testGetPostById","REST Assured API Test Suite","Wed Apr 01 09:09:38 UTC 2026","failed","Wed Apr 01 09:09:38 UTC 2026","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostById"
"Verify GET /albums returns all 100 albums","77","testGetAllAlbums","REST Assured API Test Suite","Wed Apr 01 09:09:42 UTC 2026","passed","Wed Apr 01 09:09:42 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAllAlbums"
"Verify GET /users returns all 10 users","73","testGetAllUsers","REST Assured API Test Suite","Wed Apr 01 09:09:49 UTC 2026","passed","Wed Apr 01 09:09:49 UTC 2026","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetAllUsers"
"Verify GET /todos?completed=true returns only completed todos","65","testFilterCompletedTodos","REST Assured API Test Suite","Wed Apr 01 09:09:47 UTC 2026","passed","Wed Apr 01 09:09:47 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testFilterCompletedTodos"
"Verify GET /todos/{id} returns 404 for invalid IDs","53","testGetTodoNotFound","REST Assured API Test Suite","Wed Apr 01 09:09:48 UTC 2026","passed","Wed Apr 01 09:09:48 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoNotFound"
"Verify GET /photos returns all 5000 photos","521","testGetAllPhotos","REST Assured API Test Suite","Wed Apr 01 09:09:44 UTC 2026","passed","Wed Apr 01 09:09:45 UTC 2026","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetAllPhotos"
"Verify GET /todos/{id} returns correct todo data","76","testGetTodoById","REST Assured API Test Suite","Wed Apr 01 09:09:47 UTC 2026","passed","Wed Apr 01 09:09:47 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoById"
"Verify GET /todos/{id} returns correct todo data","78","testGetTodoById","REST Assured API Test Suite","Wed Apr 01 09:09:47 UTC 2026","passed","Wed Apr 01 09:09:47 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoById"
"Verify GET /comments/{id} returns correct comment data","306","testGetCommentById","REST Assured API Test Suite","Wed Apr 01 09:09:41 UTC 2026","failed","Wed Apr 01 09:09:41 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentById"
"Verify relationship: user has many albums","63","testGetUserAlbums","REST Assured API Test Suite","Wed Apr 01 09:09:50 UTC 2026","passed","Wed Apr 01 09:09:50 UTC 2026","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserAlbums"
"Verify GET /users/{id} returns correct user data","81","testGetUserById","REST Assured API Test Suite","Wed Apr 01 09:09:49 UTC 2026","failed","Wed Apr 01 09:09:49 UTC 2026","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserById"
"Verify GET /comments/{id} returns 404 for invalid IDs","273","testGetCommentNotFound","REST Assured API Test Suite","Wed Apr 01 09:09:42 UTC 2026","passed","Wed Apr 01 09:09:42 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentNotFound"
"Verify GET /albums/{id} returns 404 for non-existent IDs","266","testGetAlbumNotFound","REST Assured API Test Suite","Wed Apr 01 09:09:44 UTC 2026","passed","Wed Apr 01 09:09:44 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumNotFound"
"Verify GET /comments/{id} returns correct comment data","95","testGetCommentById","REST Assured API Test Suite","Wed Apr 01 09:09:40 UTC 2026","failed","Wed Apr 01 09:09:41 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentById"
"Verify GET /photos/{id} returns correct photo data","288","testGetPhotoById","REST Assured API Test Suite","Wed Apr 01 09:09:45 UTC 2026","passed","Wed Apr 01 09:09:46 UTC 2026","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoById"
"Verify GET /users/{id} returns correct user data","77","testGetUserById","REST Assured API Test Suite","Wed Apr 01 09:09:49 UTC 2026","failed","Wed Apr 01 09:09:49 UTC 2026","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserById"
"Verify POST /todos creates a todo and returns 201","128","testCreateTodo","REST Assured API Test Suite","Wed Apr 01 09:09:48 UTC 2026","failed","Wed Apr 01 09:09:48 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testCreateTodo"
"Verify GET /comments?postId=1 filters comments by post","87","testFilterCommentsByPostId","REST Assured API Test Suite","Wed Apr 01 09:09:41 UTC 2026","passed","Wed Apr 01 09:09:41 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testFilterCommentsByPostId"
"Verify Content-Type header and response time","53","testAlbumHeaders","REST Assured API Test Suite","Wed Apr 01 09:09:44 UTC 2026","passed","Wed Apr 01 09:09:44 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testAlbumHeaders"
