"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify GET /posts/{id} returns 404 for non-existent IDs","92","testGetPostNotFound","REST Assured API Test Suite","Thu May 28 11:40:22 UTC 2026","passed","Thu May 28 11:40:22 UTC 2026","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostNotFound"
"Verify GET /todos?completed=false returns only incomplete todos","190","testFilterIncompleteTodos","REST Assured API Test Suite","Thu May 28 11:40:29 UTC 2026","passed","Thu May 28 11:40:29 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testFilterIncompleteTodos"
"Verify GET /todos?completed=true returns only completed todos","195","testFilterCompletedTodos","REST Assured API Test Suite","Thu May 28 11:40:29 UTC 2026","passed","Thu May 28 11:40:29 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testFilterCompletedTodos"
"Verify GET /comments/{id} returns 404 for invalid IDs","181","testGetCommentNotFound","REST Assured API Test Suite","Thu May 28 11:40:24 UTC 2026","passed","Thu May 28 11:40:24 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentNotFound"
"Verify response structure matches user JSON schema","86","testUserSchemaValidation","REST Assured API Test Suite","Thu May 28 11:40:30 UTC 2026","passed","Thu May 28 11:40:31 UTC 2026","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testUserSchemaValidation"
"Verify GET /photos/{id} returns 404 for invalid IDs","184","testGetPhotoNotFound","REST Assured API Test Suite","Thu May 28 11:40:28 UTC 2026","passed","Thu May 28 11:40:28 UTC 2026","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoNotFound"
"Verify GET /todos/{id} returns correct todo data","106","testGetTodoById","REST Assured API Test Suite","Thu May 28 11:40:28 UTC 2026","passed","Thu May 28 11:40:29 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoById"
"Verify GET /albums/{id} returns 404 for non-existent IDs","179","testGetAlbumNotFound","REST Assured API Test Suite","Thu May 28 11:40:25 UTC 2026","passed","Thu May 28 11:40:25 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumNotFound"
"Verify GET /albums/{id} returns 404 for non-existent IDs","185","testGetAlbumNotFound","REST Assured API Test Suite","Thu May 28 11:40:25 UTC 2026","passed","Thu May 28 11:40:25 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumNotFound"
"Verify GET /todos returns all 200 todos","93","testGetAllTodos","REST Assured API Test Suite","Thu May 28 11:40:28 UTC 2026","passed","Thu May 28 11:40:28 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetAllTodos"
"Verify POST /todos creates a todo and returns 201","179","testCreateTodo","REST Assured API Test Suite","Thu May 28 11:40:30 UTC 2026","failed","Thu May 28 11:40:30 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testCreateTodo"
"Verify DELETE /posts/1 returns 200","118","testDeletePost","REST Assured API Test Suite","Thu May 28 11:40:22 UTC 2026","passed","Thu May 28 11:40:23 UTC 2026","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testDeletePost"
"Verify PUT /albums/1 updates the album and returns 200","199","testUpdateAlbum","REST Assured API Test Suite","Thu May 28 11:40:26 UTC 2026","passed","Thu May 28 11:40:26 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testUpdateAlbum"
"Verify GET /todos/{id} returns 404 for invalid IDs","176","testGetTodoNotFound","REST Assured API Test Suite","Thu May 28 11:40:29 UTC 2026","passed","Thu May 28 11:40:29 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoNotFound"
"Verify relationship: user has many todos","108","testGetUserTodos","REST Assured API Test Suite","Thu May 28 11:40:31 UTC 2026","passed","Thu May 28 11:40:31 UTC 2026","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserTodos"
"Verify GET /photos/{id} returns correct photo data","207","testGetPhotoById","REST Assured API Test Suite","Thu May 28 11:40:27 UTC 2026","passed","Thu May 28 11:40:27 UTC 2026","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoById"
"Verify GET /photos/{id} returns 404 for invalid IDs","190","testGetPhotoNotFound","REST Assured API Test Suite","Thu May 28 11:40:27 UTC 2026","passed","Thu May 28 11:40:28 UTC 2026","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoNotFound"
"Verify GET /posts/{id} returns correct post data","125","testGetPostById","REST Assured API Test Suite","Thu May 28 11:40:20 UTC 2026","passed","Thu May 28 11:40:21 UTC 2026","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostById"
"Verify GET /comments/{id} returns 404 for invalid IDs","196","testGetCommentNotFound","REST Assured API Test Suite","Thu May 28 11:40:23 UTC 2026","passed","Thu May 28 11:40:24 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentNotFound"
"Verify GET /albums returns all 100 albums","91","testGetAllAlbums","REST Assured API Test Suite","Thu May 28 11:40:24 UTC 2026","passed","Thu May 28 11:40:24 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAllAlbums"
"Verify GET /comments/{id} returns correct comment data","232","testGetCommentById","REST Assured API Test Suite","Thu May 28 11:40:23 UTC 2026","failed","Thu May 28 11:40:23 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentById"
"Verify POST /albums creates a new album and returns 201","129","testCreateAlbum","REST Assured API Test Suite","Thu May 28 11:40:26 UTC 2026","passed","Thu May 28 11:40:26 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testCreateAlbum"
"Verify GET /users/{id} returns correct user data","94","testGetUserById","REST Assured API Test Suite","Thu May 28 11:40:30 UTC 2026","failed","Thu May 28 11:40:30 UTC 2026","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserById"
"Verify response structure matches album JSON schema","81","testAlbumSchemaValidation","REST Assured API Test Suite","Thu May 28 11:40:25 UTC 2026","passed","Thu May 28 11:40:26 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testAlbumSchemaValidation"
"Verify PATCH /posts/1 partially updates the post","126","testPatchPost","REST Assured API Test Suite","Thu May 28 11:40:22 UTC 2026","failed","Thu May 28 11:40:22 UTC 2026","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testPatchPost"
"Verify GET /comments/{id} returns correct comment data","114","testGetCommentById","REST Assured API Test Suite","Thu May 28 11:40:23 UTC 2026","failed","Thu May 28 11:40:23 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentById"
"Verify GET /todos/{id} returns correct todo data","89","testGetTodoById","REST Assured API Test Suite","Thu May 28 11:40:28 UTC 2026","passed","Thu May 28 11:40:28 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoById"
"Verify GET /users/{id} returns 404 for invalid IDs","178","testGetUserNotFound","REST Assured API Test Suite","Thu May 28 11:40:31 UTC 2026","passed","Thu May 28 11:40:31 UTC 2026","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserNotFound"
"Verify GET /users/{id} returns correct user data","97","testGetUserById","REST Assured API Test Suite","Thu May 28 11:40:30 UTC 2026","failed","Thu May 28 11:40:30 UTC 2026","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserById"
"Verify GET /albums/{id} returns correct album data","99","testGetAlbumById","REST Assured API Test Suite","Thu May 28 11:40:24 UTC 2026","passed","Thu May 28 11:40:24 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumById"
"Verify Content-Type header and response time for comments","81","testCommentHeaders","REST Assured API Test Suite","Thu May 28 11:40:24 UTC 2026","passed","Thu May 28 11:40:24 UTC 2026","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testCommentHeaders"
"Verify GET /albums/{id} returns 404 for non-existent IDs","180","testGetAlbumNotFound","REST Assured API Test Suite","Thu May 28 11:40:25 UTC 2026","passed","Thu May 28 11:40:25 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumNotFound"
"Verify Content-Type header and response time for photos","75","testPhotoHeaders","REST Assured API Test Suite","Thu May 28 11:40:28 UTC 2026","passed","Thu May 28 11:40:28 UTC 2026","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testPhotoHeaders"
"Verify GET /posts/{id} returns 404 for non-existent IDs","197","testGetPostNotFound","REST Assured API Test Suite","Thu May 28 11:40:22 UTC 2026","passed","Thu May 28 11:40:22 UTC 2026","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostNotFound"
"Verify Content-Type header and response time for todos","72","testTodoHeaders","REST Assured API Test Suite","Thu May 28 11:40:30 UTC 2026","passed","Thu May 28 11:40:30 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testTodoHeaders"
