"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify relationship: user has many todos","47","testGetUserTodos","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserTodos"
"Verify DELETE /posts/1 returns 200","105","testDeletePost","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testDeletePost"
"Verify GET /photos?albumId=1 filters photos by album","49","testFilterPhotosByAlbumId","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testFilterPhotosByAlbumId"
"Verify PUT /todos/1 fully updates the todo","224","testUpdateTodo","REST Assured API Test Suite","2026-09-15","failed","2026-09-15","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testUpdateTodo"
"Verify GET /albums/{id} returns 404 for non-existent IDs","37","testGetAlbumNotFound","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumNotFound"
"Verify GET /photos/{id} returns correct photo data","256","testGetPhotoById","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoById"
"Verify GET /comments/{id} returns 404 for invalid IDs","39","testGetCommentNotFound","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentNotFound"
"Verify GET /users/{id} returns correct user data","54","testGetUserById","REST Assured API Test Suite","2026-09-15","failed","2026-09-15","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserById"
"Verify relationship: user has many posts","70","testGetUserPosts","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserPosts"
"Verify GET /users/{id} returns 404 for invalid IDs","34","testGetUserNotFound","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserNotFound"
"Verify GET /users returns all 10 users","48","testGetAllUsers","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetAllUsers"
"Verify GET /todos/{id} returns correct todo data","76","testGetTodoById","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoById"
"Verify GET /todos/{id} returns 404 for invalid IDs","29","testGetTodoNotFound","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoNotFound"
"Verify GET /comments/{id} returns correct comment data","90","testGetCommentById","REST Assured API Test Suite","2026-09-15","failed","2026-09-15","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentById"
"Verify Content-Type header and response time for todos","32","testTodoHeaders","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testTodoHeaders"
"Verify POST /posts creates a new post and returns 201","239","testCreatePost","REST Assured API Test Suite","2026-09-15","failed","2026-09-15","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testCreatePost"
"Verify response structure matches album JSON schema","41","testAlbumSchemaValidation","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testAlbumSchemaValidation"
"Verify photo URLs are non-null and non-empty","53","testPhotoUrlFormat","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testPhotoUrlFormat"
"Verify GET /photos/{id} returns correct photo data","275","testGetPhotoById","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoById"
"Verify GET /comments/{id} returns correct comment data","75","testGetCommentById","REST Assured API Test Suite","2026-09-15","failed","2026-09-15","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentById"
"Verify Content-Type header and response time for comments","44","testCommentHeaders","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testCommentHeaders"
"Verify GET /comments?postId=1 filters comments by post","75","testFilterCommentsByPostId","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testFilterCommentsByPostId"
"Verify PUT /albums/1 updates the album and returns 200","249","testUpdateAlbum","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testUpdateAlbum"
"Verify GET /posts/{id} returns 404 for non-existent IDs","46","testGetPostNotFound","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostNotFound"
"Verify GET /todos returns all 200 todos","64","testGetAllTodos","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetAllTodos"
"Verify GET /albums returns all 100 albums","56","testGetAllAlbums","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAllAlbums"
"Verify GET /photos/{id} returns correct photo data","75","testGetPhotoById","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoById"
"Verify GET /todos/{id} returns correct todo data","59","testGetTodoById","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoById"
"Verify GET /users/{id} returns 404 for invalid IDs","36","testGetUserNotFound","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserNotFound"
"Verify Content-Type header and response time","65","testPostHeaders","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testPostHeaders"
"Verify PUT /posts/1 fully updates the post","256","testUpdatePost","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testUpdatePost"
"Verify GET /albums/{id} returns correct album data","64","testGetAlbumById","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumById"
"Verify GET /users/{id} returns 404 for invalid IDs","31","testGetUserNotFound","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserNotFound"
"Verify POST /todos creates a todo and returns 201","101","testCreateTodo","REST Assured API Test Suite","2026-09-15","failed","2026-09-15","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testCreateTodo"
"Verify GET /comments/{id} returns 404 for invalid IDs","41","testGetCommentNotFound","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentNotFound"
"Verify GET /posts/{id} returns correct post data","139","testGetPostById","REST Assured API Test Suite","2026-09-15","failed","2026-09-15","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostById"
"Verify GET /albums/{id} returns correct album data","74","testGetAlbumById","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumById"
"Verify GET /todos/{id} returns 404 for invalid IDs","37","testGetTodoNotFound","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoNotFound"
"Verify relationship: user has many albums","40","testGetUserAlbums","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserAlbums"
"Verify POST /comments creates a comment and returns 201","119","testCreateComment","REST Assured API Test Suite","2026-09-15","failed","2026-09-15","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testCreateComment"
"Verify GET /posts/{id} returns correct post data","87","testGetPostById","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostById"
"Verify response structure matches user JSON schema","47","testUserSchemaValidation","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testUserSchemaValidation"
"Verify GET /todos/{id} returns 404 for invalid IDs","238","testGetTodoNotFound","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoNotFound"
"Verify GET /users/{id} returns correct user data","60","testGetUserById","REST Assured API Test Suite","2026-09-15","failed","2026-09-15","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserById"
"Verify Content-Type header and response time for users","28","testUserHeaders","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testUserHeaders"
"Verify POST /users creates a user and returns 201","114","testCreateUser","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testCreateUser"
"Verify GET /albums/{id} returns 404 for non-existent IDs","229","testGetAlbumNotFound","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumNotFound"
"Verify GET /photos/{id} returns 404 for invalid IDs","30","testGetPhotoNotFound","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoNotFound"
"Verify GET /posts/{id} returns 404 for non-existent IDs","56","testGetPostNotFound","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostNotFound"
"Verify response structure matches post JSON schema","642","testPostSchemaValidation","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testPostSchemaValidation"
"Verify GET /todos?completed=true returns only completed todos","47","testFilterCompletedTodos","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testFilterCompletedTodos"
"Verify GET /comments returns all 500 comments","211","testGetAllComments","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetAllComments"
"Verify GET /comments/{id} returns 404 for invalid IDs","238","testGetCommentNotFound","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentNotFound"
"Verify GET /posts/{id} returns correct post data","82","testGetPostById","REST Assured API Test Suite","2026-09-15","failed","2026-09-15","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostById"
"Verify Content-Type header and response time for photos","36","testPhotoHeaders","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testPhotoHeaders"
"Verify GET /todos/{id} returns correct todo data","60","testGetTodoById","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoById"
"Verify DELETE /albums/1 returns 200","101","testDeleteAlbum","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testDeleteAlbum"
"Verify PATCH /posts/1 partially updates the post","127","testPatchPost","REST Assured API Test Suite","2026-09-15","failed","2026-09-15","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testPatchPost"
"Verify GET /posts returns all 100 posts","2633","testGetAllPosts","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetAllPosts"
"Verify GET /albums/{id} returns correct album data","77","testGetAlbumById","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumById"
"Verify POST /photos creates a photo and returns 201","118","testCreatePhoto","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testCreatePhoto"
"Verify GET /albums/{id} returns 404 for non-existent IDs","40","testGetAlbumNotFound","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumNotFound"
"Verify GET /todos?completed=false returns only incomplete todos","242","testFilterIncompleteTodos","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testFilterIncompleteTodos"
"Verify relationship: album has many photos linked by albumId","64","testGetAlbumPhotos","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumPhotos"
"Verify GET /photos/{id} returns 404 for invalid IDs","46","testGetPhotoNotFound","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoNotFound"
"Verify GET /posts/{id} returns 404 for non-existent IDs","53","testGetPostNotFound","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostNotFound"
"Verify GET /comments/{id} returns correct comment data","126","testGetCommentById","REST Assured API Test Suite","2026-09-15","failed","2026-09-15","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentById"
"Verify POST /albums creates a new album and returns 201","127","testCreateAlbum","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testCreateAlbum"
"Verify GET /photos/{id} returns 404 for invalid IDs","230","testGetPhotoNotFound","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoNotFound"
"Verify GET /users/{id} returns correct user data","54","testGetUserById","REST Assured API Test Suite","2026-09-15","failed","2026-09-15","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserById"
"Verify Content-Type header and response time","32","testAlbumHeaders","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testAlbumHeaders"
"Verify GET /photos returns all 5000 photos","502","testGetAllPhotos","REST Assured API Test Suite","2026-09-15","passed","2026-09-15","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetAllPhotos"
