"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Users","13","0","","0"
"0","","0","Albums","13","0","","0"
"0","","0","Comments","10","0","","0"
"0","","0","Photos","11","0","","0"
"0","","0","Todos","12","0","","0"
"0","","0","Posts","13","0","","0"
