"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify GET /posts returns all 100 posts","2376","testGetAllPosts","REST Assured API Test Suite","Wed May 06 10:21:19 UTC 2026","passed","Wed May 06 10:21:21 UTC 2026","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetAllPosts"
"Verify GET /posts/{id} returns 404 for non-existent IDs","69","testGetPostNotFound","REST Assured API Test Suite","Wed May 06 10:21:22 UTC 2026","passed","Wed May 06 10:21:23 UTC 2026","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostNotFound"
"Verify photo URLs are non-null and non-empty","42","testPhotoUrlFormat","REST Assured API Test Suite","Wed May 06 10:21:26 UTC 2026","passed","Wed May 06 10:21:26 UTC 2026","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testPhotoUrlFormat"
"Verify GET /photos/{id} returns 404 for invalid IDs","52","testGetPhotoNotFound","REST Assured API Test Suite","Wed May 06 10:21:26 UTC 2026","passed","Wed May 06 10:21:26 UTC 2026","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoNotFound"
"Verify GET /posts/{id} returns correct post data","78","testGetPostById","REST Assured API Test Suite","Wed May 06 10:21:22 UTC 2026","failed","Wed May 06 10:21:22 UTC 2026","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostById"
"Verify GET /todos/{id} returns correct todo data","48","testGetTodoById","REST Assured API Test Suite","Wed May 06 10:21:26 UTC 2026","passed","Wed May 06 10:21:26 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoById"
"Verify GET /todos/{id} returns correct todo data","69","testGetTodoById","REST Assured API Test Suite","Wed May 06 10:21:26 UTC 2026","passed","Wed May 06 10:21:26 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoById"
"Verify response structure matches album JSON schema","39","testAlbumSchemaValidation","REST Assured API Test Suite","Wed May 06 10:21:25 UTC 2026","passed","Wed May 06 10:21:25 UTC 2026","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testAlbumSchemaValidation"
"Verify relationship: user has many posts","35","testGetUserPosts","REST Assured API Test Suite","Wed May 06 10:21:27 UTC 2026","passed","Wed May 06 10:21:27 UTC 2026","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserPosts"
"Verify GET /photos/{id} returns 404 for invalid IDs","58","testGetPhotoNotFound","REST Assured API Test Suite","Wed May 06 10:21:26 UTC 2026","passed","Wed May 06 10:21:26 UTC 2026","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoNotFound"
"Verify GET /users/{id} returns 404 for invalid IDs","54","testGetUserNotFound","REST Assured API Test Suite","Wed May 06 10:21:27 UTC 2026","passed","Wed May 06 10:21:27 UTC 2026","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserNotFound"
"Verify GET /todos/{id} returns 404 for invalid IDs","56","testGetTodoNotFound","REST Assured API Test Suite","Wed May 06 10:21:26 UTC 2026","passed","Wed May 06 10:21:27 UTC 2026","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoNotFound"
