"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify GET /todos/{id} returns 404 for invalid IDs","273","testGetTodoNotFound","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoNotFound"
"Verify POST /posts creates a new post and returns 201","260","testCreatePost","REST Assured API Test Suite","2026-09-17","failed","2026-09-17","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testCreatePost"
"Verify POST /photos creates a photo and returns 201","142","testCreatePhoto","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testCreatePhoto"
"Verify GET /users returns all 10 users","91","testGetAllUsers","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetAllUsers"
"Verify GET /photos/{id} returns 404 for invalid IDs","288","testGetPhotoNotFound","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoNotFound"
"Verify PATCH /posts/1 partially updates the post","147","testPatchPost","REST Assured API Test Suite","2026-09-17","failed","2026-09-17","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testPatchPost"
"Verify GET /albums/{id} returns 404 for non-existent IDs","137","testGetAlbumNotFound","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumNotFound"
"Verify GET /albums returns all 100 albums","69","testGetAllAlbums","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAllAlbums"
"Verify Content-Type header and response time for comments","55","testCommentHeaders","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testCommentHeaders"
"Verify GET /todos/{id} returns correct todo data","79","testGetTodoById","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoById"
"Verify GET /comments/{id} returns correct comment data","185","testGetCommentById","REST Assured API Test Suite","2026-09-17","failed","2026-09-17","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentById"
"Verify GET /todos?completed=true returns only completed todos","72","testFilterCompletedTodos","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testFilterCompletedTodos"
"Verify GET /comments/{id} returns correct comment data","316","testGetCommentById","REST Assured API Test Suite","2026-09-17","failed","2026-09-17","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentById"
"Verify GET /comments/{id} returns correct comment data","102","testGetCommentById","REST Assured API Test Suite","2026-09-17","failed","2026-09-17","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentById"
"Verify GET /comments returns all 500 comments","197","testGetAllComments","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetAllComments"
"Verify GET /albums/{id} returns 404 for non-existent IDs","267","testGetAlbumNotFound","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumNotFound"
"Verify GET /users/{id} returns correct user data","84","testGetUserById","REST Assured API Test Suite","2026-09-17","failed","2026-09-17","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserById"
"Verify GET /users/{id} returns correct user data","100","testGetUserById","REST Assured API Test Suite","2026-09-17","failed","2026-09-17","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserById"
"Verify GET /users/{id} returns 404 for invalid IDs","73","testGetUserNotFound","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserNotFound"
"Verify GET /albums/{id} returns 404 for non-existent IDs","278","testGetAlbumNotFound","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumNotFound"
"Verify POST /todos creates a todo and returns 201","267","testCreateTodo","REST Assured API Test Suite","2026-09-17","failed","2026-09-17","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testCreateTodo"
"Verify POST /comments creates a comment and returns 201","148","testCreateComment","REST Assured API Test Suite","2026-09-17","failed","2026-09-17","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testCreateComment"
"Verify GET /albums/{id} returns correct album data","154","testGetAlbumById","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumById"
"Verify GET /photos/{id} returns correct photo data","90","testGetPhotoById","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoById"
"Verify GET /posts/{id} returns 404 for non-existent IDs","76","testGetPostNotFound","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostNotFound"
"Verify GET /posts/{id} returns 404 for non-existent IDs","232","testGetPostNotFound","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostNotFound"
"Verify GET /photos returns all 5000 photos","543","testGetAllPhotos","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetAllPhotos"
"Verify GET /photos/{id} returns 404 for invalid IDs","288","testGetPhotoNotFound","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoNotFound"
"Verify relationship: user has many todos","67","testGetUserTodos","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserTodos"
"Verify GET /comments/{id} returns 404 for invalid IDs","278","testGetCommentNotFound","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentNotFound"
"Verify GET /comments/{id} returns 404 for invalid IDs","267","testGetCommentNotFound","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentNotFound"
"Verify GET /albums/{id} returns correct album data","92","testGetAlbumById","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumById"
"Verify GET /todos?completed=false returns only incomplete todos","280","testFilterIncompleteTodos","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testFilterIncompleteTodos"
"Verify response structure matches post JSON schema","641","testPostSchemaValidation","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testPostSchemaValidation"
"Verify POST /albums creates a new album and returns 201","156","testCreateAlbum","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testCreateAlbum"
"Verify relationship: album has many photos linked by albumId","327","testGetAlbumPhotos","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumPhotos"
"Verify GET /photos?albumId=1 filters photos by album","72","testFilterPhotosByAlbumId","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testFilterPhotosByAlbumId"
"Verify GET /todos/{id} returns 404 for invalid IDs","287","testGetTodoNotFound","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoNotFound"
"Verify Content-Type header and response time for photos","65","testPhotoHeaders","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testPhotoHeaders"
"Verify Content-Type header and response time for todos","51","testTodoHeaders","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testTodoHeaders"
"Verify Content-Type header and response time","93","testPostHeaders","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testPostHeaders"
"Verify GET /posts/{id} returns correct post data","106","testGetPostById","REST Assured API Test Suite","2026-09-17","failed","2026-09-17","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostById"
"Verify GET /albums/{id} returns correct album data","80","testGetAlbumById","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumById"
"Verify GET /users/{id} returns correct user data","87","testGetUserById","REST Assured API Test Suite","2026-09-17","failed","2026-09-17","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserById"
"Verify PUT /todos/1 fully updates the todo","143","testUpdateTodo","REST Assured API Test Suite","2026-09-17","failed","2026-09-17","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testUpdateTodo"
"Verify Content-Type header and response time for users","58","testUserHeaders","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testUserHeaders"
"Verify PUT /posts/1 fully updates the post","154","testUpdatePost","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testUpdatePost"
"Verify DELETE /albums/1 returns 200","127","testDeleteAlbum","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testDeleteAlbum"
"Verify GET /photos/{id} returns correct photo data","295","testGetPhotoById","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoById"
"Verify GET /posts returns all 100 posts","2120","testGetAllPosts","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetAllPosts"
"Verify POST /users creates a user and returns 201","135","testCreateUser","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testCreateUser"
"Verify GET /photos/{id} returns 404 for invalid IDs","269","testGetPhotoNotFound","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoNotFound"
"Verify GET /users/{id} returns 404 for invalid IDs","59","testGetUserNotFound","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserNotFound"
"Verify GET /todos/{id} returns correct todo data","99","testGetTodoById","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoById"
"Verify GET /posts/{id} returns correct post data","122","testGetPostById","REST Assured API Test Suite","2026-09-17","failed","2026-09-17","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostById"
"Verify GET /posts/{id} returns 404 for non-existent IDs","78","testGetPostNotFound","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostNotFound"
"Verify GET /posts/{id} returns correct post data","102","testGetPostById","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostById"
"Verify GET /comments?postId=1 filters comments by post","93","testFilterCommentsByPostId","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testFilterCommentsByPostId"
"Verify DELETE /posts/1 returns 200","265","testDeletePost","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testDeletePost"
"Verify relationship: user has many albums","71","testGetUserAlbums","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserAlbums"
"Verify response structure matches user JSON schema","106","testUserSchemaValidation","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testUserSchemaValidation"
"Verify GET /todos returns all 200 todos","74","testGetAllTodos","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetAllTodos"
"Verify GET /photos/{id} returns correct photo data","78","testGetPhotoById","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testGetPhotoById"
"Verify GET /users/{id} returns 404 for invalid IDs","124","testGetUserNotFound","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserNotFound"
"Verify GET /todos/{id} returns 404 for invalid IDs","262","testGetTodoNotFound","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoNotFound"
"Verify photo URLs are non-null and non-empty","73","testPhotoUrlFormat","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.photos.PhotoTest","Photos Tests","com.apitest.photos.PhotoTest","testPhotoUrlFormat"
"Verify PUT /albums/1 updates the album and returns 200","152","testUpdateAlbum","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testUpdateAlbum"
"Verify response structure matches album JSON schema","99","testAlbumSchemaValidation","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testAlbumSchemaValidation"
"Verify GET /comments/{id} returns 404 for invalid IDs","134","testGetCommentNotFound","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentNotFound"
"Verify GET /todos/{id} returns correct todo data","111","testGetTodoById","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoById"
"Verify Content-Type header and response time","89","testAlbumHeaders","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testAlbumHeaders"
"Verify relationship: user has many posts","82","testGetUserPosts","REST Assured API Test Suite","2026-09-17","passed","2026-09-17","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserPosts"
