"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify GET /users/{id} returns correct user data","64","testGetUserById","REST Assured API Test Suite","2026-06-22","failed","2026-06-22","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserById"
"Verify GET /posts/{id} returns correct post data","87","testGetPostById","REST Assured API Test Suite","2026-06-22","passed","2026-06-22","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostById"
"Verify GET /users returns all 10 users","37","testGetAllUsers","REST Assured API Test Suite","2026-06-22","passed","2026-06-22","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetAllUsers"
"Verify GET /todos/{id} returns 404 for invalid IDs","230","testGetTodoNotFound","REST Assured API Test Suite","2026-06-22","passed","2026-06-22","com.apitest.todos.TodoTest","Todos Tests","com.apitest.todos.TodoTest","testGetTodoNotFound"
"Verify Content-Type header and response time","31","testAlbumHeaders","REST Assured API Test Suite","2026-06-22","passed","2026-06-22","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testAlbumHeaders"
"Verify GET /posts/{id} returns 404 for non-existent IDs","60","testGetPostNotFound","REST Assured API Test Suite","2026-06-22","passed","2026-06-22","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetPostNotFound"
"Verify GET /albums/{id} returns correct album data","97","testGetAlbumById","REST Assured API Test Suite","2026-06-22","passed","2026-06-22","com.apitest.albums.AlbumTest","Albums Tests","com.apitest.albums.AlbumTest","testGetAlbumById"
"Verify GET /posts returns all 100 posts","2538","testGetAllPosts","REST Assured API Test Suite","2026-06-22","passed","2026-06-22","com.apitest.posts.PostTest","Posts Tests","com.apitest.posts.PostTest","testGetAllPosts"
"Verify GET /comments/{id} returns 404 for invalid IDs","249","testGetCommentNotFound","REST Assured API Test Suite","2026-06-22","passed","2026-06-22","com.apitest.comments.CommentTest","Comments Tests","com.apitest.comments.CommentTest","testGetCommentNotFound"
"Verify relationship: user has many posts","40","testGetUserPosts","REST Assured API Test Suite","2026-06-22","passed","2026-06-22","com.apitest.users.UserTest","Users Tests","com.apitest.users.UserTest","testGetUserPosts"
